No,No Lesen,Nama Syarikat,Nama Aktiviti,Tarikh Aktiviti Mula,Tarikh Aktiviti Tamat
251,L202501007,MMTF Consultant,TAIPING ENDURANCE CHALLENGE 2025,10/05/2025,11/05/2025
252,L202200515,MMTF CONSULTANT,Taiping Endurance Challenge 2022,28/08/2022,28/08/2022
253,L202400891,GoSportz Sdn Bhd,Taiping 150 Ride 2024,08/12/2024,08/12/2024
254,L202200477,Endurance Nature Sdn Bhd,Tailwind Ultimate Trails of Penang Eco,16/07/2022,17/07/2022
255,L201900046,TADIKA ST. ANNE,TADIKA ST. ANNE CHARITY RUN 2019,27/07/2019,27/07/2019
256,L201900053,Swinburne University of Technology Sarawak Campus,Swinburen Hope Run 2019,28/09/2019,28/09/2019
257,L202200417,IDEAHOLICS SDN BHD,SWIMIN12 SPORTS DAY 2022,19/03/2022,19/03/2022
258,L202300023,IDEAHOLICS SDN BHD,SWIMIN 12 SPORTS DAY 2023,05/08/2023,05/08/2023
259,L202000269,Oriental Global Event Management,Sweet Run 2020,02/02/2020,02/02/2020
260,L202400714,Oriental Global Event Management,Sweet Memories Run - Penang,07/01/2024,07/01/2024
261,L202300173,ORIENTAL GLOBAL EVENT MANAGEMENT,SWEET MEMORIES RUN TAIPING,17/12/2023,17/12/2023
262,L202300154,ORIENTAL GLOBAL EVENT MANAGEMENT,SWEET MEMORIES RUN IPOH,10/12/2023,10/12/2023
263,L202300137,Oriental Global Event Management,SWEET MEMORIES RUN BUTTERWORTH,12/11/2023,12/11/2023
264,L202300135,Oriental Global Event Management,SWEET MEMORIES RUN ALOR SETARQ,11/11/2023,11/11/2023
265,L202000274,MAKAMEWAH SDN BHD,SURIA SABAH 10TH ANNIVERSARY RUN 2020,01/03/2020,01/03/2020
266,L201900158,MAKAMEWAH SDN BHD,SURIA SABAH 10TH ANNIVERSARY RUN 2020,01/03/2020,01/03/2020
267,L202501173,Supreme Sports Management Sdn Bhd,Supreme & David Palmer Coaching Camp 2025,04/09/2025,07/09/2025
268,L202200587,BORNEO ULTRA TRAILS SDN BHD,SUPER KERBAU 7,18/12/2022,18/12/2022
269,L202100387,BORNEO ULTRA TRAILS SDN BHD,SUPER KERBAU 6 TRAIL RUN,18/12/2021,19/12/2021
270,L201900003,BORNEO ULTRA TRAILS SDN BHD,SUPER KERBAU # 5,-,16/06/2019
271,L202000347,Oriental Global Event Management,Sungai Petani 5KM Jomrun Balloon Run,21/03/2020,21/03/2020
272,L202000317,ZART EVENTIVE ENTERPRISE,SUNGAI PERAI NATURE WALK 2020,15/03/2020,15/03/2020
273,L202501078,Malatra Events Enterprise,SUNGAI MENYALA FOREST TRAIL,10/08/2025,10/08/2025
274,L202000275,Mantra Experiential Sdn Bhd,Sun Life Malaysia Resolution Run 2020,12/01/2020,12/01/2020
275,L202501032,MHZ TECHNOLOGY CORPORATION,SULAMAN ULTRA MARATHON 2025,13/07/2025,13/07/2025
276,L202400759,DEMI MASA ENTERPRISE,SULAMAN ULTRA MARATHON,21/07/2024,21/07/2024
277,L202300708,EXPERTISE EVENT MANAGEMENT,SULAMAN HALF MARATHON 2023,11/06/2023,11/06/2023
278,L202200443,EXPERTISE EVENT MANAGEMENT,SULAMAN HALF MARATHON,15/05/2022,15/05/2022
279,L201900178,JomRun Sdn Bhd,Subway Breakfast Run Penang 2019,02/11/2019,02/11/2019
280,L201900027,10 SENSES (M) SDN BHD,SUBANG JAYA MEDICAL CENTRE RUN 2019,-,07/07/2019
281,L202400880,PYRAMID BOWL SDN BHD,STORM SPINNER CUP 2024,06/09/2024,08/09/2024
282,L202000328,I.STAR EVENTS SDN BHD,STAR HEALTH FUN RUN,22/03/2020,22/03/2020
283,L202400793,MST GOLF MANAGEMENT SDN BHD,STANDARD CHARTERED PRIORITY PRIVATE INTERNATIONAL SERIES - MALAYSIA 2024,19/07/2024,19/07/2024
284,L202200397,MST Golf Management Sdn Bhd,Standard Chartered Golf Tournament 2022,22/01/2022,22/01/2022
285,L202300012,MST GOLF MANAGEMENT SDN BHD,Standard Chartered Golf Tournament 202,28/08/2023,28/08/2023
286,L202501246,Oriental Global Event Management,SS CHARITY RUN 2025,21/12/2025,21/12/2025
287,L202300686,Golf (Malaysia) Publications Sdn Bhd,SRIXON MALAYSIAN JUNIOR DEVELOPMENT TOUR,16/05/2023,26/10/2023
288,L202200519,Golf (Malaysia) Publications Sdn Bhd,SRIXON MALAYSIAN JUNIOR DEVELOPMENT TOUR,27/09/2022,15/12/2022
289,L202400911,MST GOLF MANAGEMENT SDN BHD,SRIXON GOLF DAY 2024,13/11/2024,13/11/2024
290,L202300158,MST GOLF MANAGEMENT SDN BHD,SRIXON GOLF DAY 2023,07/12/2023,07/12/2023
291,L202300688,Scenes Global Ventures,Srixon Championship 2023,24/05/2023,25/05/2023
292,L202300689,Scenes Global Ventures,Srixon Championship,24/05/2023,25/05/2023
293,L202501026,GOLF (MALAYSIA) PUBLICATIONS SDN BHD,SRIXON 100PLUS MALAYSIAN JUNIOR DEVELOPMENT TOUR,06/05/2025,10/07/2025
294,L202501189,GOLF (MALAYSIA) PUBLICATIONS SDN BHD,SRIXON 100PLUS INTERNATIONAL JUNIOR CHAMPIONSHIP,28/10/2025,30/10/2025
295,L202501025,ESL Gaming Malaysia Sdn Bhd,SPS MLBB Challenge Finals,14/02/2025,16/02/2025
296,L201900221,GE GIFT & AWARD SDN BHD,SPRING RUN 2020,11/01/2020,11/01/2020
297,L202400769,KARC ENTERPRISE,SPORTSLIFE FUSION KAR ULTRA 2024,27/07/2024,28/07/2024
298,L202300021,KARC ENTERPRISE,SPORTSLIFE FUSION KAR ULTRA 2023,29/07/2023,30/07/2023
299,L202200514,Score Sports Management Sdn Bhd,Sports Paragon Run 2022,24/09/2022,24/09/2022
300,L202501093,Yayasan Kecemerlangan Sukan Malaysia,SportExcel-KLGCC International Junior Championship 2025,16/07/2025,18/07/2025
301,L202601276,Yayasan Kecemerlangan Sukan Malaysia,SPORTEXCEL INTERNATIONAL JUNIOR GOLF CHAMPIONSHIP 2026,14/01/2026,16/01/2026
302,L202400935,YAYASAN KECEMERLANGAN SUKAN MALAYSIA,SPORTEXCEL INTERNATIONAL JUNIOR GOLF CHAMPIONSHIP 2024,25/10/2024,27/10/2024
303,L201900091,Mantra Experiential Sdn Bhd,SPORT DIRECT RUN,08/09/2019,08/09/2019
304,L202501186,Score Sports Management Sdn Bhd,Spastic Fun Run 2025,26/10/2025,26/10/2025
305,L202400944,Score Sports Management Sdn Bhd,Spastic Fun Run 2024,17/11/2024,17/11/2024
306,L202501185,Score Sports Management Sdn Bhd,Spartan Race Malaysia 2025,18/10/2025,19/10/2025
307,L202300140,UNBREAKABLE EVENTS MALAYSIA SDN BHD,SPARTAN RACE KUALA LUMPUR TRIFECTA WEEKEND 2023,28/10/2023,29/10/2023
308,L202400765,Unbreakable Events Malaysia Sdn Bhd,Spartan Race Johor Trifecta Weekend 2024,27/04/2024,28/04/2024
309,L202400938,UNBREAKABLE EVENTS MALAYSIA SDN BHD,SPARTAN KL HONOR TRIFECTA WEEKEND 2024,12/10/2024,13/10/2024
310,L201900227,AFD TRADING,South Ville City Fun Run,15/12/2019,15/12/2019
311,L201900115,FANATIC 4 EVENT,SONIC RUN 2019 FUN RUN,22/09/2019,22/09/2019
312,L202500991,SUPER SONIC FITNESS,SONIC MERDEKA RUN 2025,24/08/2025,24/08/2025
313,L202501010,Atlas Collective Sdn Bhd,Songkra Run - Splash Mania,26/04/2025,26/04/2025
314,L202400839,ESL Gaming Malaysia Sdn Bhd,Snapdragon Pro Series Challenge Finals MLBB 2024,02/08/2024,04/08/2024
315,L201900215,Ace De Strategy Sdn. Bhd.,Slipper Beach Fun Run 2019,06/12/2019,06/12/2019
316,L202200424,TOPS ARENA EMPIRE,SKYWORTH BADMINTON CHAMPIONSHIP,26/03/2022,27/03/2022
317,L202501180,PUNCAK VENTURES SRA SDN BHD,SKS2B FUN RUN 2025,11/10/2025,11/10/2025
318,L202501048,Ultimate Pickleballers,Skechers International Pickleball Tournament Malaysia Edition 2025,16/05/2025,18/05/2025
319,L202200564,Score Sports Management Sdn Bhd,Skechers Friendship Walk 2022,30/10/2022,30/10/2022
320,L202300116,SCORE SPORTS MANAGEMENT SDN BHD,SKECHERS FRIENDSHIP WALK & RUN 2023,15/10/2023,15/10/2023
321,L202501170,Blue Frost Southern Management Sdn. Bhd,SKATE JOHOR 2025,20/09/2025,21/09/2025
322,L202400901,Blue Frost Southern Management Sdn. Bhd,SKATE JOHOR 2024,18/10/2024,20/10/2024
323,L202300110,BLUE FROST SOUTHERN MANAGEMENT SDN BHD,SKATE 1 2023,13/10/2023,15/10/2023
324,L202400950,TEN SENSES (M) SDN BHD,SJMC RUN 2024,01/12/2024,01/12/2024
325,L201900073,GE GIFT & AWARD SDN BHD,SJKC PANDAMARAN 'A' RUN 2019,29/09/2019,29/09/2019
326,L202300172,LUMEN SPORTS SDN BHD,SIREH PARK ULTRA,09/12/2023,09/12/2023
327,L202400751,Northern Runners Resources,Sintok Trail Run 2024,04/05/2024,04/05/2024
328,L202200550,CHECKPOINT SPOT SDN BHD,SIMEDARBY MOTORS RUN 2022,25/09/2022,25/09/2022
329,L202300112,SCORE SPORTS MANAGEMENT SDN BHD,SIME DARBY OILS FIT TO RIDE 2023,07/10/2023,07/10/2023
330,L202300670,ALPHA SPORTS EVENT,SILABUR ULTRA TRAIL,19/03/2023,19/03/2023
331,L201900218,Y.S.P INDUSTRIES (M) SDN.BHD,SHINE HEALTH RUN 2019,08/12/2019,08/12/2019
332,L202200584,Cyclomotion Sdn Bhd,Shimano Bukit Merah Jamboree 2022,17/12/2022,17/12/2022
333,L201900204,RED ADVENTURE SDN BHD,SHERUN RUNAWAY PRINCESS 2019,17/11/2019,17/11/2019
334,L202000309,RED ADVENTURE SDN BHD,SHERUN GORGEOUS GIRL 2020,23/02/2020,23/02/2020
335,L201900067,BIKEAWAY EC ENTERPRISE,SHAH ALAM ENDURIDE 2019,18/08/2019,18/08/2019
336,L202501149,Score Sports Management Sdn Bhd,Setia4Malaysia Unity Run 2025,07/09/2025,07/09/2025
337,L201900187,JomRun Sdn Bhd,Setia Colorful Fun Run,16/11/2019,16/11/2019
338,L201900189,JomRun Sdn Bhd,Seremban Unicorn 5KM Fun Run,17/11/2019,17/11/2019
339,L202000304,JomRun Sdn Bhd,Seremban Pink Swan Fun Run,23/02/2020,23/02/2020
340,L202300071,SEREMBAN HALF MARATHON SPORTS,SEREMBAN HALF 2023 PRESENTED BY JOMRUN,15/09/2023,16/09/2023
341,L202501137,Linkedup Asia Sdn Bhd,Seniors Pickleball Classic,06/09/2025,07/09/2025
342,L202100376,PURPLE LEAGUE SPORTS MANAGEMENT SDN BHD,SENHENG redONE PURPLE LEAGUE PROFESSIONAL 2020/2021,11/09/2021,19/09/2021
343,L202300677,Fanaz Event & Management,Sendayan Neon Ride 2023,18/03/2023,18/03/2023
344,L202000312,RUNBIKEAWAY SERVICES,SEMUT RUN 2020 @ SHAH ALAM,21/06/2020,21/06/2020
345,L202500965,Lumen Sports Sdn Bhd,Semenyih Ultra 2025,18/01/2025,19/01/2025
346,L202300698,Lumen Sports Sdn Bhd,Semenyih Ultra 2023,27/05/2023,28/05/2023
347,L202400719,Lumen Sports Sdn Bhd,SEMENYIH ULTRA,03/02/2024,04/02/2024
348,L201900177,BIKEAWAY EC ENTERPRISE,SELANGOR YOUTH REPUBLIC FUN RIDE 2019,02/11/2019,02/11/2019
349,L202400910,STARIA GEMILANG SDN BHD,SELANGOR SKATE CHALLENGE 2024,25/10/2024,27/10/2024
350,L202601284,MAKSAK SELANGOR,SELANGOR MASTER 2026,11/02/2026,14/02/2026
351,L202200511,COMRADES ALL STAR SOLUTIONS,SELANGOR MARATHON 2022,03/12/2022,04/12/2022
352,L202000288,Comrades All Star Solutions,SELANGOR MARATHON 2020,22/02/2020,23/02/2020
353,L202501248,RUNBIKEAWAY SDN BHD,SELANGOR INTERNATIONAL RIDE 2025,14/12/2025,14/12/2025
354,L202300709,Cyclomotion Sdn Bhd,Selangor International Race 2023,25/06/2023,25/06/2023
355,L202601283,MAKSAK SELANGOR,SELANGOR INTERNATIONAL JUNIOR CHAMPIONSHIP 2026,05/02/2026,07/02/2026
356,L202200512,XS Elite Performance Services,Selangor Duathlon,28/08/2022,28/08/2022
357,L201900052,Invest Selangor Berhad,selangor corporate colour run 2019,17/08/2019,17/08/2019
358,L202200622,IMPACT SPORT EVENT,SELANGOR BATIK BENDANG FUN WALK & RUN HELLO 2023,31/12/2022,31/12/2022
359,L202500983,Linkedup Asia Sdn Bhd,Selangor ASICS Pickleball Open 2025,15/02/2025,16/02/2025
360,L202400949,THE BONGCIT HUB,SELAMA ULTRA 2025,24/01/2025,25/01/2025
361,L202300114,LUMEN SPORTS SDN BHD,SEKINCHAN ULTRA 2023,21/10/2023,22/10/2023
362,L202200573,ULTRA RUNNING,Sekinchan Ultra 2022,22/10/2022,23/10/2022
363,L201900205,ULTRA RUNNING,Sekinchan Ultra 2019,30/11/2019,01/12/2019
364,L202400927,Lumen Sports Sdn Bhd,Sekinchan Ultra,09/11/2024,10/11/2024
365,L202501207,Lumen Sports Sdn Bhd,Sekinchan Ultra,01/11/2025,02/11/2025
366,L201900020,SEGI University (M) Sdn Bhd,SEGi Fun Run 2019,30/06/2019,30/06/2019
367,L202300122,EQUIP MANAGEMENT ENTERPRISE,SECURE RIDE 2023,14/10/2023,14/10/2023
368,L202501161,KONSEP INTISARI SDN BHD,SEBANGGA PICKLEBALL PALOOZA,20/09/2025,21/09/2025
369,L202200428,SENIOR DEVELOPMENT TOUR MALAYSIA SDN BHD,SDT(M) 1ST OPENING SERIES TOURNAMENT,23/03/2022,24/03/2022
370,L202400772,Score Sports Management Sdn Bhd,Score Trailblazer 2024,19/05/2024,19/05/2024
371,L202501095,Score Sports Management Sdn Bhd,Score Marathon 2025 by AIA Vitality,13/07/2025,13/07/2025
372,L202400804,Score Sports Management Sdn Bhd,Score Marathon 2024 by AIA Vatility,21/07/2024,21/07/2024
373,L202300040,SCORE SPORTS MANAGEMENT SDN BHD,SCORE MARATHON 2023 BY AIA VITALITY,13/08/2023,13/08/2023
374,L202200532,Heyjom Sdn Bhd,SCORE Marathon 2022,23/10/2022,23/10/2022
375,L202300074,MST GOLF MANAGEMENT SDN BHD,SCIENTEX 55TH ANNIVERSARY GOLF INVITATIONAL 2023,24/08/2023,24/08/2023
376,L202501060,Shell Business Service Centre Sdn Bhd,SBO KL Run 2025,21/06/2025,21/06/2025
377,L202400784,Shell Business Service Centre Sdn Bhd,SBO KL Run 2024,08/06/2024,08/06/2024
378,L202300017,SHELL BUSINESS SERVICES CENTRE SDN BHD,SBO KL Run 2023,19/08/2023,19/08/2023
379,L202200543,Shell Business Service Centre Sdn Bhd,SBO KL Run 2022,15/10/2022,15/10/2022
380,L202200408,bunduROCK,Sawar Sawar Run,20/03/2022,20/03/2022
381,L202501225,Saujana Resort (M) Berhad,SAUJANA AMATUER CHAMPIONSHIP 2025,24/11/2025,27/11/2025
382,L201900043,TEN SENSES (M) SDN BHD,SAUCONY RUN MALAYSIA 2019,11/08/2019,11/08/2019
383,L201900171,JomRun Sdn. Bhd.,Sandakan Unicorn 5km Fun Run,10/11/2019,10/11/2019
384,L202000326,JomRun Sdn. Bhd.,Sandakan 5km Colour Balloon Run,08/03/2020,08/03/2020
385,L202300088,AXIS ESPORTS SDN BHD,SAMBUTAN HARI MERDEKA ESPORTS TOURNAMENT,16/09/2023,17/09/2023
386,L201900141,Evo Agro Solutions,Sabah Plogging Run 2019,29/09/2019,29/09/2019
387,L202501234,SPORTSYNC,S.T.A.R PICKLEBALL CHALLENGE 2025,23/11/2025,23/11/2025
388,L202000302,NASHVIEW SDN BHD,Running Back In Time 2020,06/09/2020,06/09/2020
389,L202601273,NEUPULSE SDN BHD,RUNLIGA TEAM RACE 2026,18/01/2026,18/01/2026
390,L202500976,NEUPULSE SDN BHD,RUNLIGA TEAM RACE,16/02/2025,16/02/2025
391,L202400797,EXCELL TEAM RESOURCES,RUN WITH PENYU 4.0,06/07/2024,06/07/2024
392,L202300072,EXCELL TEAM RESOURCES,RUN WITH PENYU 3.0,16/09/2023,16/09/2023
393,L202000313,EXCEL TEAM RESOURCES,RUN WITH PENYU 2020 TERENGGANU,22/02/2020,22/02/2020
394,L201900013,SHELL BUSINESS SERVICE CENTRE SDN BHD,RUN FOREST RUN 2019,03/08/2019,03/08/2019
395,L202000346,SUNWAY UNIVERSITY SDN. BHD.,RUN FOR THE REEFS 2020,19/04/2020,19/04/2020
396,L201900193,FB GROUP SDN BHD,RUN FOR THE KIDS 2019,24/11/2019,24/11/2019
397,L201900085,KAZOKU EVENTS,Run for OneSight Malaysia,08/09/2019,08/09/2019
398,L202400789,MRMS GROUP SDN BHD,RUN FOR LOVE,09/06/2024,09/06/2024
399,L202400951,FL EVENT & ENTERTAINMENT,RUN FOR GOOD WILL CHARITY RUN 2024,23/11/2024,23/11/2024
400,L202501033,Oriental Global Event Management,Run For Future 3.0 - Taiping,25/05/2025,25/05/2025
401,L202501038,Oriental Global Event Management,Run For Future 3.0 - Butterworth,01/06/2025,01/06/2025
402,L201900173,IJ EVENT MANAGEMENT,Run For Future 2019,10/11/2019,10/11/2019
403,L202300691,Oriental Global Event Management,Run For Future - Taiping,21/05/2023,21/05/2023
404,L202300660,Oriental Global Event Management,Run For Future - Ipoh,12/03/2023,12/03/2023
405,L202300697,Oriental Global Event Management,Run For Future - Butterworth,28/05/2023,28/05/2023
406,L202300696,Oriental Global Event Management,Run For Future,13/05/2023,13/05/2023
407,L201900148,Full Gospel Assembly BHD,Run for FGA 2019,28/10/2019,28/10/2019
408,L201900051,NS ELEVATED ENTERPRISE,RUN & WRITE 2019,12/10/2019,12/10/2019
409,L202400837,INFINITI INDAH SDN BHD,ROYAL PAHANG F3000 POWERBOAT CHAMPIONSHIP,02/08/2024,04/08/2024
410,L202300035,INFINITI INDAH SDN BHD,ROYAL 6 DRAGON BOAT REGATTA,30/07/2023,31/07/2023
411,L202400737,ULTRA RUNNING,ROUTE 68 ULTRA,02/03/2024,03/03/2024
412,L202500988,Lumen Sports Sdn Bhd,Route 68 Ultra,20/02/2025,23/02/2025
413,L202300651,Lumen Sports Sdn Bhd,ROUTE 68 ULTRA,04/03/2023,05/03/2023
414,L202601270,Lumen Sports Sdn Bhd,Route 68 Ultra,07/02/2026,07/02/2026
415,L202200448,ULTRA RUNNING,ROUTE 68 ULTRA,21/05/2022,22/05/2022
416,L202200483,ULTRA RUNNING,ROUTE 19 ULTRA,02/07/2022,03/07/2022
417,L202501027,Palmco Hotels Sdn Bhd,Rock to Rock Run 2025,15/06/2025,15/06/2025
418,L202300652,Palmco Hotels Sdn Bhd,Rock to Rock Run 2023,18/06/2023,18/06/2023
419,L202200562,J&C Homes Hotels SDN BHD,Road to Give 2022,30/10/2022,30/10/2022
420,L202300073,ZAMARA BIZ,RIVER OF LIFE RUN,17/09/2023,17/09/2023
421,L202400750,GoSportz Sdn Bhd,RHB WCE Century Ride 2024,19/05/2024,19/05/2024
422,L202501153,MST GOLF SDN BHD,RHB Premier Invitational Golf Tournament 2025,01/10/2025,23/11/2025
423,L202501123,GoSportz Sdn Bhd,RHB LEKAS Highway Ride 2025,11/10/2025,11/10/2025
424,L202400882,GoSportz Sdn Bhd,RHB LEKAS Highway Ride 2024,12/10/2024,12/10/2024
425,L202300108,GOSPORTZ SDN BHD,RHB LEKAS HIGHWAY RIDE 2023,21/10/2023,22/10/2023
426,L202200521,GoSportz Sdn Bhd,RHB LEKAS Highway Ride 2022,15/10/2022,15/10/2022
427,L201900015,GoSportz Sdn Bhd,RHB Lekas Highway Ride 2019,27/07/2019,27/07/2019
428,L202200609,EGEN EVENT SDN. BHD,Reunion Chase the Light Run 2022,10/12/2022,10/12/2022
429,L201900114,Cyclomotion Sdn Bhd,Repsol Fellowship Ride 2019,15/09/2019,15/09/2019
430,L202400942,Cyclomotion Sdn Bhd,Rembau Fellowship Ride And Race 2024,23/11/2024,23/11/2024
431,L202100381,Cyclomotion Sdn Bhd,Rembau Fellowship Ride 2021,18/12/2021,18/12/2021
432,L202300028,ACE SPORTS AND MANAGEMENT (M) SDN BHD,REEDONE PSA WSF SATELLITE #7 2023,21/07/2023,23/07/2023
433,L202300027,ACE SPORTS AND MANAGEMENT (M) SDN BHD,REDONE PSA WSF SATELLITE #6 2023,13/07/2023,16/07/2023
434,L202501111,Fresh Events Asia Sdn Bhd,REDLINE FITNESS GAMES 2025,26/07/2025,26/07/2025
435,L202400822,JD & K Design Sdn Bhd,REDLINE FITNESS GAMES,13/07/2024,14/07/2024
436,L201900153,JomRun Sdn Bhd,Red Arena Run Cyberjaya,19/10/2019,19/10/2019
437,L201900159,NAVI J PRODUCTION,RED ARENA RUN 2019,20/10/2019,20/10/2019
438,L201900146,Oriental Global Event Management,RED ARENA NIGHT FUN RUN,19/10/2019,19/10/2019
439,L201900090,Mantra Experiential Sdn Bhd,RECREATIONAL ORANG ASAL RUN (ROAR) 2019,04/08/2019,04/08/2019
440,L201900139,RED TAIL CREATION PLT,"READY, SET, WALK",17/11/2019,17/11/2019
441,L202200621,UNIVERSITI TEKNIKAL MARA SDN. BHD.,RCC COLOR RUN UniKL MFI 2022,08/01/2023,08/01/2023
442,L202400752,Oriental Global Event Management,RAYA RUN 2024 - BUTTERWORTH,05/05/2024,05/05/2024
443,L202400771,Oriental Global Event Management,Raya Run 2024 - Alor Setar,18/05/2024,18/05/2024
444,L202400783,Oriental Global Event Management,RAYA RUN 2024 - ALOR SETAR,15/06/2024,15/06/2024
445,L201900233,JomRun Sdn. Bhd.,Ranau Unicorn Fun Run,08/12/2019,08/12/2019
446,L202501245,IMPACT INTEGRATED,RAKAN MUDA WOMEN'S ESPORTS CHAMPIONSHIP 2025,19/12/2025,21/12/2025
447,L202501224,Royal Selangor Yacht Club,Raja Muda Selangor International Regatta,14/11/2025,14/11/2025
448,L202501235,RFC INTERNATINAL SDN.BHD,RAINFOREST CHALLENGE (RFC) GRAND FINAL 2025,29/11/2025,10/12/2025
449,L202400945,RFC INTERNATINAL SDN BHD,RAINFOREST CHALLENGE (RFC) GRAND FINAL 2024,29/11/2024,09/12/2024
450,L202300157,RFC INTERNATIONAL SDN BHD,RAIN FOREST CHALLENGE (RFC) GRAND FINAL 2023,01/12/2023,11/12/2023
451,L202300161,RFC INTERNATIONAL SDN BHD,RAIN FOREST CHALLENGE (RFC) GRAND FINAL 2023,01/12/2023,11/12/2023
452,L202501179,Hijo Outdoor & Sports Events Management,Raid de Gombak,11/10/2025,12/10/2025
453,L202400814,RaceRoom Entertainment Sdn Bhd,RaceRoom Dual Race Virtual Endurance Race,26/07/2024,26/07/2024
454,L202300667,CYCLOPEDIA SDN BHD,Race Across Malaysia,18/03/2023,19/03/2023
455,L202501030,COMRADES ALL STAR SOLUTIONS,PUTRAJAYA WOMEN HALF MARATHON 2025,04/05/2025,04/05/2025
456,L202300653,Malatra Events,PUTRAJAYA ULTRA RUNNING FESTIVAL,18/02/2023,20/02/2023
457,L202200411,KAZOKU EVENTS,PUTRAJAYA SUNSET TRIATHLON (TRI SERIES) 2022,26/03/2022,26/03/2022
458,L202500985,EQUIP MANAGEMENT ENTERPRISE,PUTRAJAYA NIGHT RACE 2025,15/02/2025,15/02/2025
459,L202400733,EQUIP MANAGEMENT ENTERPRISE,PUTRAJAYA NIGHT RACE 2024,24/02/2024,24/02/2024
460,L202300695,HARMONY SYNERGY SDN.BHD,PUTRAJAYA NIGHT RACE 2023,04/08/2023,05/08/2023
461,L202400761,My Sports Asia Sdn Bhd,PUTRAJAYA NIGHT MARATHON 2024,28/09/2024,29/09/2024
462,L202200541,TWENTY FIRST CENTURY SPORTS (M) SDN BHD,PUTRAJAYA NIGHT MARATHON 2022,01/10/2022,02/10/2022
463,L202300095,MY SPORTS ASIA SDN BHD,PUTRAJAYA NIGHT MARATHON,28/10/2023,29/10/2023
464,L201900201,TWENTY FIRST CENTURY SPORTS (M) SDN BHD,Putrajaya Night Marathon,23/11/2019,23/11/2019
465,L201900117,RED ADVENTURE SDN BHD,PUTRAJAYA BRIDGE NIGHT RIDE 2019,21/09/2019,21/09/2019
466,L201900228,Pacat Event Solutions,Putrajaya 100 2019,07/12/2019,08/12/2019
467,L202501145,Score Sports Management Sdn Bhd,Puma Nitro Night Run 2025,13/09/2025,13/09/2025
468,L202400900,Score Sports Management Sdn Bhd,PUMA Nitro Night Run,16/11/2024,16/11/2024
469,L202000291,PACERS SPORT EVENTS SDN BHD,PUI YING FUN RUN 2020,08/03/2020,08/03/2020
470,L202501075,COMRADES ALL STAR SOLUTIONS,PUBLIC BANK GROUP RUN FOR CHANGE 2025,22/06/2025,22/06/2025
471,L202400766,COMRADES ALL STAR SOLUTIONS,PUBLIC BANK GROUP RUN 2024,09/06/2024,09/06/2024
472,L202400956,VSPN MALAYSIA SDN. BHD,PUBG Global Championship 2024,09/12/2024,22/12/2024
473,L201900256,JomRun Sdn Bhd,PTAC New Year Run,12/01/2020,12/01/2020
474,L201900151,KINABALU SABAH RUN,PROUDLY SABAHAN,20/10/2019,20/10/2019
475,L202400908,MST GOLF MANAGEMENT SDN BHD,PROTON GOLF CUP 2024,02/11/2024,02/11/2024
476,L202501103,MST GOLF ARENA SDN BHD,PROTON Cup Golf Invitational 2025,09/08/2025,09/08/2025
477,L201900174,Sunshine Wholesale Mart Sdn Bhd,Projek Kasih Sunshine Charity Run 2019,03/11/2019,03/11/2019
478,L202200581,POLIKLINIK AZ ZAHRAH BBB SDN BHD,PROGRAM LARIAN MEGARUN COMEBACK STRONGER 2022 KUMPULAN MEGAKLINIK ZAHRAN,02/12/2022,02/12/2022
479,L202501199,YAYASAN HUMINISTIK,"PROGRAM LARIAN AMAL BANDAR BOTANIC, KLANG",26/10/2025,26/10/2025
480,L202200501,DHARMA MANAGEMENT CONSULTANT,Prince of Wales Isle Xokei Club Carnival,20/08/2022,20/08/2022
481,L202100394,NBL INTERNATIONAL SDN BHD,PREMIER BASKETBALL CLASSIC,20/12/2021,26/12/2021
482,L202400964,IO ESPORTS SDN BHD,PREDATOR LEAGUE APAC 2025,06/01/2025,13/01/2025
483,L202400923,Oriental Global Event Management,Prangin Mall Fun Run 2.0,03/11/2024,03/11/2024
484,L202300132,Oriental Global Event Management,PRANGIN MALL FUN RUN,05/11/2023,05/11/2023
485,L202501191,Bold D Court & Manage Sdn Bhd,"PPA Tour Asia, Malaysia Cup 2025",24/09/2025,28/09/2025
486,L202501090,Bold D Court & Manage Sdn Bhd,PPA TOUR ASIA PANAS MALAYSIA OPEN 2025,03/07/2025,06/07/2025
487,L202300710,FRESH EVENTS ASIA SDN. BHD.,POWERMAN MALAYSIA 2023,16/06/2023,18/06/2023
488,L202400754,Kazoku Events,PORT DICKSON TRIATHLON 2024,04/05/2024,05/05/2024
489,L202300675,Kazoku Events,PORT DICKSON TRIATHLON 2023,18/03/2023,19/03/2023
490,L201900243,SWIMON ENTERPRISE,Port Dickson OWS 2KM Classic 2020,12/01/2020,12/01/2020
491,L202501089,seahorse triple nine empire,PORT DICKSON INTERNATIONAL MUAYTHAI FIGHT 1.0,05/07/2025,05/07/2025
492,L201900002,SWIMON ENTERPRISE,PORT DICKSON 10km SWIM MARATHON 2019,07/07/2019,07/07/2019
493,L202200413,PONDEROSA GOLF & COUNTRY RESORT BERHAD,PONDEROSA JUNIOR OPEN,26/02/2022,26/11/2022
494,L202000270,ENGAGE MEDIA SDN BHD,POLKA DOT RACE 2020,12/01/2020,12/01/2020
495,L202400933,Kazoku Events,Pokemon Run 2024,10/11/2024,10/11/2024
